Municipio;Dose;Contagem de Id Vacinacao
NOVA LUZITÂNIA;1° Dose;112
NOVA LUZITÂNIA;2° Dose;22
NOVA ODESSA;1° Dose;1369
NOVA ODESSA;2° Dose;272
NOVAIS;1° Dose;132
NOVAIS;2° Dose;56
NOVO HORIZONTE;1° Dose;1665
NOVO HORIZONTE;2° Dose;460
NUPORANGA;1° Dose;387
NUPORANGA;2° Dose;118
OCAUÇU;1° Dose;141
OCAUÇU;2° Dose;38
ÓLEO;1° Dose;102
ÓLEO;2° Dose;25
OLÍMPIA;1° Dose;2163
OLÍMPIA;2° Dose;575
ONDA VERDE;1° Dose;188
ONDA VERDE;2° Dose;44
